brand,events,views,carts,purchases,users_chunk_sum,revenue,avg_price
a-case,48419,46744,1326,349,33203,2123.3,11.391532094698178
a-derma,1346,1285,54,7,608,107.81,13.666482723214612
a-elita,1200,1170,23,7,784,121.22999999999999,42.21253234867987
a-mega,1535,1478,34,23,791,2074.0,87.7274579638216
aardwolf,1350,1294,41,15,631,497.69,41.421057398245374
abaybooks,103,101,1,1,99,5.12,5.12
abhika,504,503,1,0,315,0.0,417.1153882622008
abk,197,190,1,6,139,69.36,11.56
abris,17,15,1,1,9,14.44,14.44
absolutechampion,868,815,46,7,559,552.15,32.93421153138457
absolutenewyork,7,7,0,0,7,0.0,1.67
abtoys,1856,1806,31,19,1229,879.8900000000001,37.10584258877699
abugarcia,175,175,0,0,66,0.0,260.2931583261183
academie,233,222,9,2,125,19.53,14.049207885730114
accoona,1,1,0,0,1,0.0,38.15
accord,560,560,0,0,422,0.0,38.119357864357866
accumaster,71,71,0,0,49,0.0,95.15153846153846
acd,428,413,13,2,241,3.4699999999999998,5.0300633530651595
acebeam,55,55,0,0,35,0.0,178.19326666666666
acer,1669408,1602525,47339,19544,483486,10267659.37,628.4064348536048
aces,929,927,1,1,656,86.49,208.31096725397617
achilles,5296,4948,258,90,3222,5435.37,58.45812646666177
acm,3197,3100,73,24,1885,627.7900000000001,29.28909043185934
acme,65359,63457,1384,518,36786,24525.64,47.28346083129325
acnecontrolprofessional,33,33,0,0,24,0.0,8.88
acorp,44,44,0,0,30,0.0,32.73428571428571
acqua,640,592,35,13,376,38.48,3.522682261208577
acron,221,205,10,6,154,92.51,15.230673934837093
action,54,54,0,0,40,0.0,31.357142857142858
actiontrack,998,955,31,12,645,314.98,24.54630786974805
activision,25535,25135,296,104,17351,5263.3,54.005362063290036
acuvue,7867,7571,221,75,3844,1722.22,23.19298401704976
acv,6066,5937,96,33,4006,2053.91,78.27887040856612
acvilagrup,15,15,0,0,13,0.0,81.776
adagio,1940,1850,67,23,996,2558.64,105.15165104861197
adam,273,262,10,1,173,589.46,602.0873310810811
adamas,20650,19823,562,265,14978,33304.59,137.6143428144564
adamex,25264,24774,348,142,9755,57198.3,403.1502752821277
adata,29757,27952,1379,426,13118,24680.4,94.5039556682417
addlink,252,244,7,1,136,5.89,7.458076741440377
adel,1609,1585,24,0,846,0.0,41.159861103588916
adelline,3102,2993,84,25,2005,271.02,17.990909629375675
adenandanais,78,76,1,1,63,59.44,60.420475925925935
adidas,98479,96717,1269,493,51168,29611.55,83.93389755109334
adil,54952,52368,1901,683,27020,76562.38,110.57036558863632
adile,5960,5811,64,85,3488,5871.8,163.0974023809889
adili,1406,1388,16,2,885,107.03,95.27657243830019
admarginem,50,50,0,0,44,0.0,26.532009803921568
admira,2855,2782,50,23,1575,3798.43,208.44295604194716
adriatica,24217,23853,257,107,9246,18872.68,230.97901641378104
adrilux,2,2,0,0,1,0.0,54.05
advan,1213,1158,43,12,840,4440.299999999999,409.20577039391435
aeg,9229,8918,157,154,5623,7483.0,97.37578611415594
aeolus,3459,3214,143,102,1787,18393.09,316.2347334098083
aero,16798,16384,289,125,8150,65829.39,556.6130520615116
aerocool,116271,111621,3403,1247,40934,90540.24,75.38564087929198
aeroforce,151391,146632,3431,1328,79041,191028.26,142.60835383713888
aerolajf,603,593,8,2,373,154.44,77.22
aerosystem,3302,3281,19,2,2304,2342.35,1479.6399577998488
afnan,12022,11637,267,118,4583,6403.95,52.31124318528078
afox,3055,3014,33,8,1928,970.46,117.82094485091275
ag,919,900,17,2,639,187.9,90.62433701191125
agatharuizdelaprada,6271,6204,56,11,3725,478.75,42.6081909007626
agidel,19,19,0,0,14,0.0,48.0625
agl,8486,8468,15,3,6767,343.65,114.55
agness,20248,19747,348,153,11269,4967.12,38.98680279329438
agrimotor,66,66,0,0,46,0.0,121.28139999999999
agu,4573,4452,94,27,2689,2194.95,76.71198507898652
aiken,641,634,4,3,347,600.56,167.7905571272863
aiko,15661,15024,499,138,5732,11316.68,93.11256203488219
aileron,2139,2106,29,4,1747,141.57,36.198014627472396
aimile,1048,1029,16,3,706,540.54,103.8347235941465
aimoto,96718,92437,3171,1110,31608,60970.49,55.474683742030464
ainibabe,11,11,0,0,10,0.0,22.590000000000003
air-cool,4955,4882,52,21,2787,326.99,21.13525478639376
airjordan,7081,6959,88,34,4891,4967.08,148.48642738670142
airline,6016,5962,43,11,4008,399.86,43.29249314368904
airmax,124,124,0,0,102,0.0,29.189814285714288
airrower,943,919,17,7,601,3014.25,565.7621663742434
airwheel,4439,4375,50,14,1934,4388.53,321.95951904288006
aist,775,744,25,6,500,841.74,124.49330270322181
aivengo,2668,2668,0,0,1794,0.0,42.500078746797016
ajmal,28,28,0,0,24,0.0,475.97
ajris-press,19,19,0,0,15,0.0,3.016
akademiagrupp,32,32,0,0,22,0.0,9.15
akai,8861,8656,120,85,4546,8611.84,97.48607906647105
akara,221,206,15,0,138,0.0,6.799064424314424
akciaeglo,7,7,0,0,6,0.0,89.58
akebono,30,30,0,0,21,0.0,29.397530303030297
akel,1019,995,19,5,602,329.22,66.09200454512458
akg,3714,3597,83,34,1980,6780.5,163.68385546386023
akku,43,42,1,0,37,0.0,111.38341346153847
akom,43475,40238,2251,986,15301,73410.43,74.79882487102002
akor,11,11,0,0,9,0.0,14.97
akpo,14867,14422,320,125,5141,17201.48,150.3438878461904
akro,147,145,1,1,89,72.85,70.62186274509803
aksina,24,23,1,0,20,0.0,13.6425
aksion,1286,1242,36,8,633,549.44,66.87863391145743
akva,547,535,10,2,272,700.46,353.53909090909093
akvafor,15915,14918,820,177,7341,24274.33,121.95720535736305
akvalinia,95,94,1,0,56,0.0,55.581199494949495
akvarel,1914,1890,20,4,1426,765.56,199.97025868495228
akvaton,19727,19574,118,35,8996,6775.59,202.08079495318077
akyoto,29,28,1,0,23,0.0,27.03
al-ko,3649,3588,43,18,2092,5675.22,387.5100081664188
aladen,93,93,0,0,76,0.0,67.96
alaia,221,213,5,3,121,173.76,62.33040914786967
alaskaoriginale,226,222,3,1,159,21.88,44.553108268666314
alavann,1044,1041,2,1,678,108.11,116.68739972869477
alba,1,1,0,0,1,0.0,100.13
albertocasiano,9000,8696,231,73,4779,4016.61,55.20938646154961
alca,6511,6439,53,19,3864,817.31,44.94677498138941
alcasta,9037,8833,146,58,6290,13130.29,209.60144110693383
alcon,8000,7713,232,55,3636,1030.2,19.252144727652965
alctron,1830,1799,22,9,1039,1660.02,103.7050993825031
aldit,194,194,0,0,151,0.0,1247.1792391304348
alerana,3380,3268,95,17,1846,141.21,8.2451833253771
alesis,30649,29706,632,311,15709,70267.73,217.49238888921525
aletant,228,228,0,0,164,0.0,125.85
aleteja,4,4,0,0,3,0.0,15.75
alex,438,438,0,0,399,0.0,552.65
alexandermcqueen,155,154,0,1,125,306.06,731.7770408622908
alexandre.j,730,702,16,12,457,1416.48,118.91781848739495
alexika,1706,1698,6,2,1023,701.03,293.2020568356709
alexrojo,2157,2110,37,10,1391,695.0,67.94854921921525
alfa,85,85,0,0,60,0.0,51.96532850241546
alfa-kniga,3,3,0,0,3,0.0,12.660000000000002
alfreddunhill,100,89,9,2,46,151.17,81.19827514367816
algotherm,2032,2004,23,5,1082,316.6,65.6897167579142
alienware,142,141,1,0,91,0.0,1333.5229411764706
alilo,5989,5755,160,74,3101,3451.26,47.32106821435925
alinapaint,219,217,2,0,167,0.0,15.405543892628781
alinex,739,729,10,0,398,0.0,5.16326199657111
alis,43582,42166,987,429,18877,41610.29,105.28855576015754
alisa,20,20,0,0,17,0.0,2.57
alissabeaute,100,99,1,0,69,0.0,25.581865889212825
alita,41,41,0,0,39,0.0,58.41
alkor,112836,109725,2225,886,51981,367878.51,541.8498010064728
alligator,7029,6924,71,34,4746,1355.48,41.41232222480068
allocacoc,929,899,21,9,443,83.11,10.502754310619144
allvega,1050,1043,5,2,636,159.6,99.88724129357537
almacom,126843,122116,3614,1113,49942,167873.8,174.28179755631916
almada,22209,21591,482,136,11288,23090.170000000002,171.55603326682484
almaks,7,7,0,0,7,0.0,30.094285714285714
almaty,32,32,0,0,28,0.0,15.39
alondra,195,194,1,0,141,0.0,51.47999999999999
alphaline,1939,1853,63,23,898,2061.05,88.60740442578557
alphard,59707,58147,990,570,23100,50324.36,88.70580483565517
alpicool,2869,2859,6,4,2168,2673.12,661.926207628008
alpika,1109,1102,3,4,712,633.24,186.54223514169922
alpina,16595,16397,148,50,9516,9213.380000000001,524.6587474343959
alpinapabliser,1586,1515,56,15,972,188.65,11.774420871647118
alpine,108204,105818,1527,859,47621,137906.3,218.56649670031607
alser,15499,15251,203,45,8218,27494.72,641.2227578181355
altacto,850,830,13,7,549,32.550000000000004,8.998784297646056
altair,3087,3015,59,13,1863,1700.15,120.86461470538201
altajsina,43,41,2,0,20,0.0,187.91
alteco,219702,210204,7181,2317,85333,125421.96,63.25087707186612
altenzo,9051,8592,361,98,5803,9048.710000000001,72.54567229498865
alterna,5574,5504,58,12,2928,1259.98,81.22438257507396
alternativa,29,29,0,0,22,0.0,58.709931972789114
altinbasak,1282,1266,14,2,867,77.32,37.388504030161734
alumet,1794,1726,51,17,672,972.48,59.13282036224531
alutec,6593,6486,85,22,4599,15913.4,740.3353386265468
alvarez,59,59,0,0,37,0.0,238.13094252873566
alvitek,19523,18861,455,207,10131,6353.1,30.543447757266563
am-pm,9,9,0,0,7,0.0,204.9157142857143
am.pm,4415,4357,43,15,2486,5651.17,451.44044851139796
amalbooks,1752,1604,107,41,1052,417.04,10.302239074677004
amarobaby,2847,2843,4,0,1982,0.0,53.7124335129436
amatis,2978,2929,37,12,2290,1177.06,167.37643543775388
amazfit,111884,105323,4888,1673,48685,147365.61000000002,99.94069355079482
amazon,21984,21592,285,107,9361,19740.11,221.86763446865046
ambition,3324,3287,21,16,2358,180.4,15.84106541352629
amd,91659,88996,2003,660,31299,119702.44,204.95189362146
amefa,2221,2162,46,13,1424,1426.23,70.03188049243315
amen,4253,4168,67,18,2204,821.97,41.90387776601172
amercook,16,16,0,0,13,0.0,62.10666666666666
americancrew,57,57,0,0,39,0.0,25.74
americanmotionfitness,3327,3204,94,29,1828,18584.18,1083.1470992845932
amet,62,62,0,0,43,0.0,59.88923232323232
amf,743,737,6,0,444,0.0,263.546874793791
amico,72,71,1,0,48,0.0,43.85666666666666
amigami,543,538,5,0,434,0.0,3.644545547719389
amistar,494,473,15,6,292,602.34,100.39
amos,1437,1417,12,8,733,2335.64,406.15631861662786
amouage,45302,45204,71,27,9165,7920.87,385.34109410746817
ampeg,168,167,1,0,120,0.0,892.5920955284553
ampm,54,54,0,0,44,0.0,141.3553015873016
ams,20806,20025,565,216,9876,48037.520000000004,225.10848572346504
amtel,5145,4700,341,104,2792,3924.4199999999996,43.47971600066233
anahickmann,522,505,13,4,342,584.5600000000001,143.4936504646828
anatomico,9,9,0,0,7,0.0,109.22833333333334
and,2,2,0,0,2,0.0,38.59
andeks,4884,4465,329,90,2397,7282.58,135.39261636032558
andrea,212,194,11,7,126,979.72,143.73285714285714
andreafontebasso,56,56,0,0,41,0.0,194.56420289855072
andrewfuchs,154,152,2,0,28,0.0,219.46899594594592
andromeda,246,242,4,0,166,0.0,24.427089830804118
anesi,66,66,0,0,45,0.0,16.86
anex,23018,22637,273,108,12480,65952.51,637.2251227197813
annaanna,27302,27056,207,39,18793,1956.7,49.87072196775026
annaite,1291,1096,151,44,624,2114.4,48.6303233109105
annalafarg,322,321,1,0,240,0.0,338.25166806106216
annalafargemily,78,78,0,0,43,0.0,313.6
annchery,1105,1022,62,21,245,1207.23,56.218985314534876
annovireverberi,1371,1347,20,4,797,1033.9,235.237823259775
anon,3260,3176,60,24,1440,2708.57,98.58053875153546
anreks,2358,2320,31,7,1664,699.74,273.883072767926
anskin,1663,1607,46,10,857,57.9,7.482676677373301
ansmann,10858,10662,139,57,6724,1557.82,30.681425420293152
ant,1788,1768,14,6,1120,1513.56,252.26000000000002
anta,13114,12931,126,57,9219,6857.16,118.66414246814472
antares,193,187,5,1,98,89.06,87.44896133379244
antec,27,27,0,0,18,0.0,63.68
antel,286,282,2,2,166,254.8,144.88817663562818
antika,1725,1675,38,12,1008,1042.23,85.31489587408693
antoniolavazza,119,119,0,0,87,0.0,200.16895833333334
anytek,31653,30968,474,211,16316,18155.559999999998,86.21386059745333
aoc,36724,35747,733,244,14864,69096.93,258.2842914958981
aoki,268,260,6,2,116,293.39,146.73836648583486
aolais,1680,1653,22,5,1187,167.3,33.46
aorus,2180,2132,36,12,1332,8710.32,642.7548565703263
aoteli,15081,14082,739,260,8728,12145.06,49.396112549950374
apacer,80731,75131,3898,1702,32633,70406.84999999999,41.84689696284869
apache,5482,5388,71,23,2705,5711.26,383.2545228784043
apart,1007,1006,1,0,660,0.0,174.0131509049212
apc,3228,3134,72,22,1590,1074.28,463.41545496780657
apcbyschneiderelectric,73,72,1,0,49,0.0,63.95636363636363
apex,1180,1169,10,1,685,48.45,54.97998358349912
aplus,16391,15184,990,217,9530,10418.44,56.349276043837335
apollo,22673,21834,627,212,12699,2982.11,20.678832917190114
apple,15976690,14254644,1203597,518449,4722316,396118468.6,822.417589987866
appollo,30131,29443,502,186,14136,21253.73,142.6203142276318
apriori,521,504,12,5,329,4245.950000000001,849.19
aqua,50575,47536,2379,660,18319,22573.079999999998,34.988654784885554
aquabeads,70,69,1,0,41,0.0,21.135
aquafruit,26,25,1,0,22,0.0,1.54
aqualife,428,426,1,1,343,98.29,111.42516508581753
aquamarine,29058,28308,476,274,15439,4968.37,29.851728544455625
aquanet,512,505,7,0,286,0.0,465.8005569153894
aquapick,7244,7043,153,48,3586,3949.34,83.01831080345137
aquarelle,15,15,0,0,13,0.0,135.99076923076922
aquatic,1501,1476,19,6,1144,70.26,33.756963656336
aquaton,82,82,0,0,63,0.0,113.36307692307693
aquaverso,56,56,0,0,32,0.0,97.9392
aquavis,1052,1040,11,1,629,271.91,271.89877805576174
aquilon,168,168,0,0,98,0.0,365.61498701298694
ara,2574,2528,31,15,1827,2106.81,122.59538859851662
arai,267,267,0,0,180,0.0,681.1980597826087
arba,1,1,0,0,1,0.0,1402.87
arcancilparis,149,143,4,2,95,19.4,8.997531225604996
arcodoro,8346,8197,113,36,3615,871.13,29.947501124003725
ardahali,11411,11138,210,63,4980,16365.68,339.6285778231354
ardell,1059,1050,7,2,807,21.34,30.417716824756912
ardesia,2404,2396,8,0,1612,0.0,988.451149153476
ardesto,4777,4348,318,111,2680,1546.29,14.799181391063152
ardo,48,48,0,0,34,0.0,93.68
ardoni,176,172,2,2,137,355.22,177.61
arena,5659,5591,53,15,3853,557.28,88.43189055685701
areol,372,367,4,1,198,27.58,188.07923677743824
arg,284000,260110,17207,6683,136372,752393.07,128.4440221306525
aria,5568,5338,156,74,2717,11397.95,163.0933709703462
ariete,4155,4102,32,21,2361,5694.2300000000005,183.21811589363946
ariston,251423,232403,14151,4869,70112,611170.79,152.55211987541375
ark,119,119,0,0,89,0.0,77.701875
arkade,199,199,0,0,174,0.0,82.37
arkadia,772,764,4,4,398,128.45,45.01292471497146
arktika,3393,3255,112,26,1698,976.6800000000001,30.687293335218854
armada,13,13,0,0,7,0.0,8.6
armandbasi,94,86,5,3,61,92.03999999999999,32.66972972972973
armani,77895,76287,1079,529,30038,134684.82,260.1415916255453
armos,576,546,17,13,252,4103.07,313.1401365224989
arms,306,304,2,0,231,0.0,292.8543837535014
armytek,18,18,0,0,14,0.0,67.96
arnica,101900,98217,2630,1053,40802,175247.98,141.0881931365177
arno,178,177,1,0,129,0.0,580.5574
aromir,135,130,5,0,80,0.0,18.175951770451768
arpenaz,1265,1253,0,12,789,125.47999999999999,12.831750704474828
arrivo,2804,2676,103,25,1899,2277.06,89.27130048069112
arsi,6381,6329,35,17,3225,952.15,50.20739514389335
arstisa,739,726,8,5,456,514.7,129.12073556841725
art-visage,5173,4948,184,41,2684,157.93,4.127394760877284
artel,1673085,1568719,77553,26813,522578,4698795.75,179.05214230544433
artelamp,70,70,0,0,48,0.0,56.53204341736695
arteolfatto,392,384,6,2,209,437.6,161.48038158528524
artiny,13,13,0,0,6,0.0,105.54
artmusical,43200,42109,738,353,20644,57704.75,215.13485880781926
artplays,29,29,0,0,15,0.0,141.55
artpostelka,13,13,0,0,9,0.0,56.660714285714285
artspace,52,52,0,0,44,0.0,66.20852941176472
arturia,420,420,0,0,308,0.0,341.1345390070922
artvisage,83,82,1,0,50,0.0,5.511
artway,1972,1909,54,9,1125,903.4799999999999,97.08701746108197
arua,37043,36380,459,204,16751,9192.949999999999,44.5706723658063
aruba,19,19,0,0,16,0.0,293.1857142857143
aruna,1436,1351,74,11,884,63.03,5.5109845469126215
arwanan,53,53,0,0,38,0.0,179.48
asb,29,29,0,0,22,0.0,81.3821052631579
ascoli,58,58,0,0,42,0.0,755.8521052631579
ascot,262,258,3,1,199,74.65,74.65
asel,201985,188306,10351,3328,59112,182774.9,57.427594231123365
ashleyfurniture,23,23,0,0,21,0.0,344.28
asics,50121,49533,430,158,30750,11883.63,73.42453123391185
asil,42,37,3,2,20,35.52,17.76
askona,117773,114436,2507,830,40265,146896.95,236.11040371536356
asm,88335,86262,1600,473,42702,231973.11000000002,512.4769906343421
asmrelaks,112,112,0,0,78,0.0,318.7272222222222
asrock,80986,78666,1680,640,30256,90283.17,145.36693767100274
ast,7370,6937,340,93,4515,599.39,8.31715637687532
astana,382,355,25,2,231,14.96,7.4799999999999995
aston,3005,2896,90,19,1635,216.07,11.760490012550735
astrid,171,171,0,0,141,0.0,36.44166666666667
asus,1112652,1081507,22784,8361,328896,4615903.35,627.2196572964657
asustor,671,661,8,2,387,754.2,487.4539405208698
asx,114,114,0,0,76,0.0,386.10999999999996
atelier,1284,1236,40,8,669,315.03,24.79782402304649
ateliero,40,40,0,0,23,0.0,15.091736842105263
aten,478,477,1,0,342,0.0,91.80646819196429
atkinsons,5,5,0,0,5,0.0,112.69000000000001
atlant,346036,332884,9972,3180,120104,839674.81,266.62603436374275
atlantic,36300,35139,875,286,16769,55398.99,217.91329861842866
atlantmf,4,4,0,0,4,0.0,131.69
atlas,17,16,0,1,10,80.76,82.10555555555555
atmosphera,396,393,3,0,307,0.0,28.66712248862249
atoll,22762,21232,1037,493,11769,62443.54,112.63274689610165
atomic,2177,2129,41,7,1012,1563.33,386.50778526356265
aton,47,47,0,0,34,0.0,84.00059907834101
atrai,1258,1249,4,5,903,598.45,119.69
ats,3748,3702,41,5,2615,3583.1,867.2492492050735
attikus,7,7,0,0,6,0.0,9.05
attribute,13074,12537,424,113,8345,2169.33,24.442879832762223
audac,915,902,11,2,659,190.48000000000002,81.66484757321167
audio-technica,16694,16118,438,138,7799,11118.87,102.45635521601835
audiotop,51,50,1,0,42,0.0,72.07
audison,10091,10007,37,47,6103,29588.21,467.6212771600514
aufine,1,1,0,0,1,0.0,298.59
augustinwelz,76,72,3,1,54,12.84,12.839999999999998
aula,473,463,9,1,292,16.71,24.465029586866123
auldey,53,53,0,0,43,0.0,34.77903225806452
auratic,1202,1197,5,0,899,0.0,70.34929852111432
aurora,15532,14757,642,133,6859,38101.89,238.85370209763786
ausini,11313,10835,385,93,5785,1382.62,14.901728648672986
author,6897,6770,99,28,3373,7887.45,374.98244563184124
autojet,608,579,21,8,322,499.35999999999996,68.73672678465326
autoline,17472,16769,507,196,7756,54753.65,271.6231946371592
autolite,65,62,3,0,44,0.0,7.216745098039216
autopower,646,627,12,7,395,877.28,107.32614482096663
autoprofi,10982,10752,139,91,6196,4302.17,47.78568748828643
autovirazh,4276,4206,57,13,2800,784.12,60.83982901756841
aux,332,332,0,0,215,0.0,1158.7356658456486
ava,9729,9588,72,69,5358,5021.25,193.7802412662889
avalon,42008,41543,322,143,20430,70100.58,545.6342222907996
avaloncarpet,633,629,3,1,418,109.39,84.30371576421646
avangardplast,10,10,0,0,10,0.0,66.975
avanta,244,234,8,2,162,23.759999999999998,12.073318218954247
avatar,17918,17399,321,198,9382,17244.05,85.13916101506878
avatyre,112,110,2,0,79,0.0,84.98207547169811
avel,3758,3648,82,28,2270,2315.32,106.5626886164579
avene,12853,12401,353,99,4291,1795.67,16.748826350400257
avengers,494,474,16,4,334,160.86,42.055511185783914
avermedia,266,262,2,2,197,217.26,102.84056455309396
avina,279,278,0,1,191,190.29,175.40521986607143
avionaut,14,13,1,0,7,0.0,99.87
avis,4719,4683,24,12,3001,1760.6399999999999,141.47000841678903
avitron,5,5,0,0,5,0.0,20.18
avizor,2595,2462,97,36,1408,238.44,6.143311894145537
avrora,252,250,2,0,161,0.0,140.95019588329933
avrorateksdizajn,29,29,0,0,23,0.0,23.72738095238095
avs,4398,4283,85,30,2390,1995.49,62.17399215808102
avtolider,261,248,11,2,165,215.7,107.85
avtotent,108,105,2,1,74,64.35,62.92185185185185
awei,25583,24440,855,288,11186,4945.7,17.045809499467588
axis,39972,38848,742,382,18469,51833.78,145.9470136013521
axper,22740,22311,291,138,15710,7269.16,72.06725076063717
aywiparts,41,41,0,0,24,0.0,15.699166666666667
azbuka,790,758,28,4,551,39.03,8.996904071565957
azbuka-attikus,42,40,1,1,31,7.05,7.878138888888889
azbukvarik,2006,1940,55,11,1315,65.27,5.983216728183724
azzaro,4151,3894,184,73,1878,3924.17,55.31746853213287
b-kids,37,37,0,0,29,0.0,45.83
babies,32,32,0,0,25,0.0,16.2605
babolat,2430,2349,67,14,949,783.04,61.38297101415125
baboo,2166,2060,80,26,1187,627.07,22.715118433100155
babor,15665,15261,290,114,5317,6770.81,53.34577623009254
baby,63,63,0,0,53,0.0,27.233474358974355
babyborn,495,469,19,7,284,612.8000000000001,86.66326551071984
babybotte,8385,8330,47,8,5383,259.46,35.938095063099645
babybrezza,31,30,1,0,20,0.0,360.37000000000006
babycare,1225,1156,47,22,858,916.74,41.67
babycarrier,345,339,6,0,213,0.0,240.91
babygo,2639,2604,25,10,1319,832.68,79.03774981413285
babyhit,1880,1864,11,5,1196,357.53,89.29654959783363
babykiss,4185,4144,22,19,2233,4118.59,213.49211355686532
babyline,3,3,0,0,3,0.0,4.35
babyliss,101923,97503,3158,1262,43771,79345.56999999999,62.873056379421
babylisspro,13290,12986,220,84,5310,6029.5,73.53272049670741
babylock,3073,3033,26,14,1839,22437.21,1611.3236923697532
babymoov,1335,1290,32,13,802,1585.64,129.7273285038524
