model,top_fraction,top_n,precision_at_k,recall_at_k,lift
rule_pre_cart_interest,0.01,993,0.4702920443101712,0.009770896537294696,0.9773159685535963
rule_pre_cart_interest,0.05,4966,0.43576318968989125,0.0452767025839523,0.9055614036943
rule_pre_cart_interest,0.1,9932,0.4216673378977044,0.08762422847578198,0.8762687520036342
rule_pre_cart_interest,0.2,19864,0.4149718082964156,0.1724657390940475,0.8623547424505679
logistic_regression,0.01,993,0.6576032225579054,0.01366251699968616,1.3665681530310458
logistic_regression,0.05,4966,0.6498187676198147,0.0675175227534261,1.3503912429396978
logistic_regression,0.1,9932,0.6347160692710431,0.1318966419081494,1.319006258985413
logistic_regression,0.2,19864,0.6103000402738623,0.2536457788471597,1.2682672015926526
lightgbm,0.01,993,0.7109768378650554,0.014771419604561147,1.477484098070319
lightgbm,0.05,4966,0.6915022150624245,0.07184851971963595,1.4370137986535243
lightgbm,0.1,9932,0.6749899315344342,0.14026571817135683,1.4026995495301728
lightgbm,0.2,19864,0.6454389850986709,0.2682498169264567,1.3412895975929553
