category_code,events,views,carts,purchases,users_chunk_sum,revenue,avg_price
accessories.bag,1039190,1011867,20369,6954,327323,330227.13,68.3949662801101
accessories.umbrella,64110,62811,1011,288,32349,50146.86,154.88412104068578
accessories.wallet,428180,413187,11148,3845,112436,385460.16000000003,80.00006187694532
apparel.belt,15228,14727,361,140,7655,4886.81,56.60887755386168
apparel.costume,851073,824005,20509,6559,337694,635643.09,125.44698683273667
apparel.dress,183310,182024,1000,286,84172,20862.03,84.20268631597827
apparel.glove,34759,33146,1281,332,15586,11062.43,55.42130377211254
apparel.jacket,11845,11439,318,88,7104,7591.6,133.15655694280076
apparel.jeans,250937,244317,4926,1694,124803,81052.23,53.99876021658329
apparel.jumper,90163,88323,1415,425,45012,39227.01,131.8838684415881
apparel.pajamas,110025,106575,2615,835,36784,106188.05,134.52178706991896
apparel.scarf,576202,547149,23825,5228,239915,353240.81,37.24103952694759
apparel.shirt,498894,482072,12869,3953,211122,270465.6,70.65498387103402
apparel.shoes,5193817,4976976,163990,52851,1354704,6895261.45,109.34584187987173
apparel.shoes.ballet_shoes,99763,95309,3436,1018,34975,103044.61,77.37639251212097
apparel.shoes.espadrilles,66340,63419,2315,606,21898,116613.13,97.4321501758514
apparel.shoes.keds,1802760,1754783,34467,13510,512818,1272661.23,95.5721469677633
apparel.shoes.moccasins,411522,398834,9562,3126,173014,406865.46,120.09914908990416
apparel.shoes.sandals,1135567,1072008,47214,16345,296921,1291342.48,60.04943828036442
apparel.shoes.slipons,664929,619483,33444,12002,175387,2340345.35,119.3201000603906
apparel.shoes.step_ins,120413,116394,3038,981,41700,160107.98,107.18728672840433
apparel.shorts,470793,454735,12223,3835,141503,1100822.85,194.8137761747138
apparel.skirt,17974,17708,208,58,10152,7745.139999999999,95.1873707240524
apparel.sock,55259,53499,1334,426,27671,57159.17,136.68236090936702
apparel.trousers,223760,213270,8123,2367,89831,143208.2,73.1482639016877
apparel.tshirt,191614,184166,5729,1719,86602,102181.69,60.07783176917446
apparel.underwear,568546,551857,12838,3851,186785,761126.38,93.97036807678278
appliances.environment.air_conditioner,218424,210576,5848,2000,53872,960371.05,382.3179105575941
appliances.environment.air_heater,721633,683331,28656,9646,131180,748832.25,107.3767154617406
appliances.environment.climate,38175,37197,758,220,14534,21798.69,84.86628819709374
appliances.environment.fan,10998,10579,305,114,5327,4729.76,75.79629993825824
appliances.environment.vacuum,3743067,3543136,147140,52791,709848,7845028.05,178.95171820406745
appliances.environment.water_heater,366291,343734,16286,6271,78511,656280.28,109.33558764909823
appliances.iron,486478,458371,19429,8678,115052,650835.23,191.446573717074
appliances.ironing_board,188358,179326,6594,2438,70949,184015.43,87.48291030026972
appliances.kitchen.blender,868842,823334,33309,12199,195230,741369.7,65.18235503373604
appliances.kitchen.coffee_grinder,616819,578997,26495,11327,212761,3555237.1,141.6033369922994
appliances.kitchen.coffee_machine,238160,232671,3982,1507,65660,410139.85,344.74230298624
appliances.kitchen.dishwasher,365239,354140,8482,2617,75680,1057596.24,427.0540845149997
appliances.kitchen.fryer,20689,20061,496,132,10817,11178.67,91.1442559646411
appliances.kitchen.grill,529243,507683,16573,4987,175971,494959.27,131.31325341314312
appliances.kitchen.hob,441179,425491,11922,3766,91169,812183.78,244.70288196909416
appliances.kitchen.hood,593211,570621,17401,5189,117133,514353.52999999997,125.90533149943793
appliances.kitchen.juicer,274744,261091,10185,3468,76619,262461.53,98.80637999292934
appliances.kitchen.kettle,708143,674636,24173,9334,178307,418731.73,59.32401485957846
appliances.kitchen.meat_grinder,534388,510277,17371,6740,135600,578604.77,86.79771415842482
appliances.kitchen.microwave,483265,453535,20829,8901,119821,739106.23,117.37433953694828
appliances.kitchen.mixer,460275,438554,16028,5693,111585,451441.4,137.73696760333837
appliances.kitchen.oven,962037,920572,30818,10647,186641,1364021.82,192.60536895313973
appliances.kitchen.refrigerators,4716289,4501422,158807,56060,1145966,24812288.76,443.38965341746075
appliances.kitchen.steam_cooker,55586,53360,1661,565,21541,52128.340000000004,209.14992054740327
appliances.kitchen.toster,372701,356823,12023,3855,114470,434692.52,119.47250425151836
appliances.kitchen.washer,3355701,3147455,152793,55453,643168,16117602.17,332.9105224439283
appliances.personal.hair_cutter,275996,261544,10442,4010,61047,160679.55,43.508983827914484
appliances.personal.massager,2676154,2490251,139585,46318,549304,16846105.75,200.10822412337345
appliances.personal.scales,208139,196159,8417,3563,57334,73778.88,30.290749370266347
appliances.sewing_machine,704877,671779,25040,8058,146192,1758626.44,248.26312076463856
auto.accessories.alarm,558110,531574,19760,6776,145311,860913.7999999999,131.1361371148934
auto.accessories.anti_freeze,23912,23128,620,164,10678,3546.78,21.64680595175936
auto.accessories.compressor,500763,481562,13689,5512,144608,1630775.83,232.70525944076914
auto.accessories.light,633,592,31,10,345,111.85,11.482260482881191
auto.accessories.parktronic,41102,40366,543,193,18034,8117.28,54.03736239037048
auto.accessories.player,1005433,980316,16008,9109,240095,1060685.8699999999,137.33230073966683
auto.accessories.radar,167223,159274,6052,1897,55174,158454.21,93.45440739565164
auto.accessories.videoregister,534601,517218,12500,4883,146291,571396.0,129.68138828226145
auto.accessories.winch,50944,48644,1783,517,23108,40448.200000000004,322.11882993906266
computers.components.cooler,455533,434212,16000,5321,119855,476279.46,90.94708951556403
computers.components.cpu,145037,141741,2495,801,47134,182438.53,287.86212058125585
computers.components.hdd,189857,180370,6842,2645,48041,173010.13,100.6091179663283
computers.components.memory,140782,135381,3787,1614,38034,97283.84,80.73740504291914
computers.components.motherboard,144208,141422,1985,801,41596,110504.44,162.98203098470512
computers.components.power_supply,255597,241730,10388,3479,71403,295583.85,83.68599745867941
computers.components.sound_card,3470,3352,97,21,2000,457.54,27.588990060056652
computers.components.videocards,304642,295698,6528,2416,96990,687760.09,316.1705415957641
computers.desktop,1601190,1555928,33389,11873,425539,3369753.47,468.2913863407353
computers.ebooks,183909,175814,6274,1821,65141,262613.54,142.13905253005447
computers.notebook,3833383,3707411,87512,38460,677549,22534150.12,735.7032309678661
computers.peripherals.camera,26353,25667,561,125,12925,7774.03,86.63023102974817
computers.peripherals.keyboard,154020,149259,3393,1368,39475,59472.61,72.10704314596927
computers.peripherals.monitor,359691,348220,8362,3109,77435,695550.01,269.32623794237554
computers.peripherals.mouse,299734,287692,8910,3132,83016,101830.78,64.60009306861087
computers.peripherals.printer,1772026,1698160,53833,20033,507404,4034840.62,234.07644858648788
construction.components.faucet,715306,683271,22577,9458,177176,1570997.84,147.4379102768305
construction.tools.drill,956068,926449,21989,7630,231806,816936.91,169.30957264574732
