date,event_type,events,users_chunk_sum,revenue
2019-10-01,cart,16658,8873,0.0
2019-10-01,purchase,19307,14239,6275964.01
2019-10-01,view,1208280,197737,0.0
2019-10-02,cart,17268,9058,0.0
2019-10-02,purchase,19469,14218,6213628.529999999
2019-10-02,view,1154591,196253,0.0
2019-10-03,cart,19323,10050,0.0
2019-10-03,purchase,19255,14145,6233782.98
2019-10-03,view,1088725,182653,0.0
2019-10-04,cart,43829,22644,0.0
2019-10-04,purchase,27041,20006,8623684.469999999
2019-10-04,view,1346320,224873,0.0
2019-10-05,cart,35497,17851,0.0
2019-10-05,purchase,23494,17090,7341596.91
2019-10-05,view,1271348,205365,0.0
2019-10-06,cart,32146,16312,0.0
2019-10-06,purchase,22171,16575,6737660.78
2019-10-06,view,1264062,206685,0.0
2019-10-07,cart,18052,9698,0.0
2019-10-07,purchase,21378,16008,6348189.0600000005
2019-10-07,view,1161101,199714,0.0
2019-10-08,cart,18442,10051,0.0
2019-10-08,purchase,23072,17184,6819832.28
2019-10-08,view,1329119,236214,0.0
2019-10-09,cart,18432,9787,0.0
2019-10-09,purchase,22748,16820,6855511.13
2019-10-09,view,1306363,227530,0.0
2019-10-10,cart,18997,10271,0.0
2019-10-10,purchase,21993,16491,6665600.859999999
2019-10-10,view,1243087,219640,0.0
2019-10-11,cart,21450,11289,0.0
2019-10-11,purchase,26224,19500,7716208.55
2019-10-11,view,1447669,249731,0.0
2019-10-12,cart,20691,10757,0.0
2019-10-12,purchase,25373,19044,7307691.57
2019-10-12,view,1433832,224825,0.0
2019-10-13,cart,24833,12962,0.0
2019-10-13,purchase,29561,22102,8457606.49
2019-10-13,view,1584677,247686,0.0
2019-10-14,cart,44858,23657,0.0
2019-10-14,purchase,28405,20363,9356691.65
2019-10-14,view,1381439,226536,0.0
2019-10-15,cart,49548,25557,0.0
2019-10-15,purchase,26372,19185,8653065.29
2019-10-15,view,1466305,248930,0.0
2019-10-16,cart,45279,24583,0.0
2019-10-16,purchase,31394,22920,9747239.24
2019-10-16,view,1445717,246803,0.0
2019-10-17,cart,40378,21180,0.0
2019-10-17,purchase,28318,19876,9026143.14
2019-10-17,view,1338311,221671,0.0
2019-10-18,cart,40144,21246,0.0
2019-10-18,purchase,25850,19073,8155785.130000001
2019-10-18,view,1415805,246159,0.0
2019-10-19,cart,39465,21103,0.0
2019-10-19,purchase,24657,18466,7562479.359999999
2019-10-19,view,1385171,234349,0.0
2019-10-20,cart,40534,21412,0.0
2019-10-20,purchase,25098,18772,7515713.04
2019-10-20,view,1444360,248678,0.0
2019-10-21,cart,36675,19872,0.0
2019-10-21,purchase,25167,18893,7862635.0
2019-10-21,view,1343574,240903,0.0
2019-10-22,cart,36953,20060,0.0
2019-10-22,purchase,25385,18785,7914693.04
2019-10-22,view,1354534,237510,0.0
2019-10-23,cart,36407,20097,0.0
2019-10-23,purchase,24731,18513,7615371.539999999
2019-10-23,view,1319988,232980,0.0
2019-10-24,cart,35723,18846,0.0
2019-10-24,purchase,23999,17630,7470344.600000001
2019-10-24,view,1256779,216554,0.0
2019-10-25,cart,36815,20018,0.0
2019-10-25,purchase,23929,17825,7248617.98
2019-10-25,view,1374584,239004,0.0
2019-10-26,cart,34776,18981,0.0
2019-10-26,purchase,22653,17010,6917602.84
2019-10-26,view,1289839,215685,0.0
2019-10-27,cart,34256,18230,0.0
