hour,event_type,events,users_chunk_sum,revenue
0,cart,37032,21072,0.0
0,purchase,11299,8479,3493784.54
0,view,1190507,239978,0.0
1,cart,67537,38696,0.0
1,purchase,17188,13981,4869105.48
1,view,2035440,441094,0.0
2,cart,140343,81597,0.0
2,purchase,41383,34141,11050610.55
2,view,3923123,852635,0.0
3,cart,259309,146568,0.0
3,purchase,92482,75422,26207017.91
3,view,5728677,1280138,0.0
4,cart,365164,205193,0.0
4,purchase,142514,115719,40777162.82
4,view,7352560,1639851,0.0
5,cart,433088,240863,0.0
5,purchase,171135,139488,49869262.69
5,view,8329962,1869665,0.0
6,cart,469287,259718,0.0
6,purchase,186592,150948,54936494.65
6,view,8832965,1994163,0.0
7,cart,482235,265682,0.0
7,purchase,193958,156639,57518636.88
7,view,8983784,2031117,0.0
8,cart,495343,273890,0.0
8,purchase,205587,165823,62092875.01
8,view,9256352,2096848,0.0
9,cart,493933,270167,0.0
9,purchase,211140,167885,65037834.269999996
9,view,9156371,2057933,0.0
10,cart,477668,260202,0.0
10,purchase,201088,160504,61942522.63
10,view,8950570,1985379,0.0
11,cart,450537,245397,0.0
11,purchase,184391,147490,57220706.84
11,view,8670293,1908822,0.0
12,cart,417992,226703,0.0
12,purchase,168992,135565,52318498.38
12,view,8633256,1879558,0.0
13,cart,411720,224885,0.0
13,purchase,162969,131046,49678264.97
13,view,9495191,2002081,0.0
14,cart,416843,224323,0.0
14,purchase,159600,128275,47737015.22
14,view,10574041,2110156,0.0
15,cart,417568,221973,0.0
15,purchase,151210,121779,44097306.05
15,view,11300986,2163455,0.0
16,cart,394818,210271,0.0
16,purchase,139287,110211,40375548.84
16,view,11564432,2071143,0.0
17,cart,353451,192490,0.0
17,purchase,127565,99597,37286932.92
17,view,10952520,1868283,0.0
18,cart,296463,153855,0.0
18,purchase,92222,70654,28913800.28
18,view,8606749,1466934,0.0
19,cart,199785,108587,0.0
19,purchase,67312,49472,21620632.64
19,view,5964762,966195,0.0
20,cart,123355,67585,0.0
20,purchase,40903,29832,13839153.72
20,view,3536947,566386,0.0
21,cart,72113,39189,0.0
21,purchase,25325,18096,8819696.18
21,view,2067402,329816,0.0
22,cart,43982,23906,0.0
22,purchase,16382,11581,5788895.65
22,view,1266696,208166,0.0
23,cart,30643,16888,0.0
23,purchase,11312,8070,3837462.79
23,view,947990,166406,0.0
