price_bin,event_type,events,users_chunk_sum,revenue
0-10,cart,159519,97162,0.0
0-10,purchase,46560,38334,307419.37
0-10,view,4372918,1765812,0.0
10-50,cart,1164833,640947,0.0
10-50,purchase,403248,339583,12994502.71
10-50,view,28143240,7501119,0.0
100-200,cart,1957955,1014620,0.0
100-200,purchase,767009,610486,113879642.67999999
100-200,view,37571713,10454565,0.0
1000-5000,cart,331547,190869,0.0
1000-5000,purchase,144734,113599,194988617.34
1000-5000,view,8197942,3293720,0.0
200-500,cart,1936540,1027058,0.0
200-500,purchase,749264,594878,233270380.69
200-500,view,43299093,11440061,0.0
50-100,cart,919316,521177,0.0
50-100,purchase,353637,301512,25785305.73
50-100,view,26619227,7577695,0.0
500-1000,cart,880499,484791,0.0
500-1000,purchase,357384,279024,268103353.39
500-1000,view,19117443,6235092,0.0
