brand,events,views,carts,purchases,users_chunk_sum,revenue,avg_price
samsung,21712419,19473099,1600456,638864,5964685,173136224.53,349.69279241467825
apple,15976690,14254644,1203597,518449,4722316,396118468.6,822.417589987866
xiaomi,12930464,11999391,704345,226728,3207562,37034675.57,198.4524421077126
unknown,23463568,22697203,552062,214303,6368113,29842410.78,193.04362038220873
huawei,4424454,4094713,237419,92322,1322151,17300302.96,249.71255283757807
lucente,3110438,2972841,89746,47851,923366,12017325.82,247.41481834563757
oppo,2067003,1906904,114285,45814,665172,10301239.69,297.3556101941684
lg,2603251,2453580,111874,37797,798368,15381792.35,465.28078440969216
cordiant,1363766,1228957,98614,36195,562376,1716179.95,46.790669114898314
sony,2174178,2046316,94199,33663,734551,12089299.24,423.0658498824249
artel,1673085,1568719,77553,26813,522578,4698795.75,179.05214230544433
bosch,2276589,2192035,62975,21579,715441,4718375.58,264.6371680518243
lenovo,1698547,1631350,47361,19836,462051,7637159.82,528.7430354783539
acer,1669408,1602525,47339,19544,483486,10267659.37,628.4064348536048
philips,1143453,1085165,41759,16529,432910,1908795.47,161.3942403349939
vitek,1033616,971307,46070,16239,384754,677098.4299999999,47.15097446508568
redmond,1176946,1120134,41464,15348,388513,1071059.72,80.55987436307794
elenberg,697626,648467,34046,15113,316059,573395.13,52.91842260381437
indesit,1019290,964559,40098,14633,305168,3718482.7,262.9212490204831
dauscher,1137296,1087911,36346,13039,416099,2485671.0,221.7692942029851
nokian,563266,514172,36224,12870,230872,960880.3099999999,81.07979647247879
triangle,498832,461127,24897,12808,198382,647736.33,53.55328621349048
tefal,856539,811574,32313,12652,312655,1374304.39,123.40551361098768
hp,1247625,1205750,29365,12510,382419,4319733.97,491.2025436457008
haier,696859,652934,31522,12403,275472,3542598.66,329.7132816651877
beko,750560,706743,31571,12246,284830,2874088.29,259.4685230450378
casio,1104690,1068745,24674,11271,287118,1022058.07,131.1568183116841
polaris,895942,855039,29856,11047,335194,509559.17,49.30904227620061
midea,683329,642856,29817,10656,256371,1555240.57,196.2516244557869
viatti,463032,419924,32464,10644,212407,463459.41,44.83649402745833
respect,1559142,1518181,30413,10548,495746,790471.09,75.51038094001358
stels,746555,714310,22748,9497,286793,880180.99,90.9834019562753
jbl,539013,505633,24140,9240,197013,617118.54,87.13556767421157
nokia,717174,684706,23841,8627,257091,755394.5,120.4613686690839
asus,1112652,1081507,22784,8361,328896,4615903.35,627.2196572964657
braun,497867,471108,19530,7229,176878,684999.47,106.84971574049774
sokolov,672953,648918,16892,7143,244795,1045754.13,170.19814876338836
vivo,485912,461038,17763,7111,151595,1738362.68,284.8755731743046
rowenta,342841,319544,16323,6974,137237,381821.13,56.20935357323444
arg,284000,260110,17207,6683,136372,752393.07,128.4440221306525
meizu,594157,573494,14125,6538,214025,790951.51,152.57395716521663
starline,473824,448057,19302,6465,142312,924695.5,157.93756368721594
omron,268222,245811,16483,5928,76995,353616.66000000003,61.742484412169254
yokohama,273017,254359,12786,5872,116174,530901.2,93.19559938050489
scarlett,517658,495223,16715,5720,209230,190094.53,40.50896716191826
janome,485825,462737,17579,5509,110289,1350971.48,271.03960518667213
pioneer,582696,565398,11885,5413,182055,612419.13,147.9832207812365
tunga,261966,237615,18986,5365,121032,187029.13,34.86849900831348
matador,231625,208878,17466,5281,108997,342210.63,65.01756637254108
nika,336248,314813,16154,5281,98877,234446.48,47.90996576023376
ariston,251423,232403,14151,4869,70112,611170.79,152.55211987541375
force,448787,433475,10613,4699,212914,709463.03,159.74722196981443
panasonic,407975,388516,14782,4677,147613,436252.96,150.37106206542487
kivi,229061,213892,10564,4605,92083,1199912.7,261.38998996395134
kingston,286351,268470,13301,4580,101171,207014.98,104.98377737447757
tcl,220319,204494,11530,4295,82918,1090049.54,289.1490171977303
epson,234198,218253,11801,4144,66894,975660.87,289.5090601908401
karcher,442824,425414,13338,4072,146500,1027407.25,261.155995459227
hansa,420312,404508,11755,4049,139975,985573.18,282.76776655340547
prestigio,205341,192048,9293,4000,93179,214355.11,69.29753645317287
