category_code,events,views,carts,purchases,users_chunk_sum,revenue,avg_price
electronics.smartphone,28724281,26259313,1735324,729644,6056634,338105371.98,426.4918261293298
construction.tools.light,16572257,14748668,1321315,502274,3540555,215188124.66,188.92980687756582
unknown,42502628,40753922,1253047,495659,8516531,62608388.3,175.49019952753287
electronics.audio.headphone,4291955,3970001,231730,90224,1156172,18763126.58,301.8205881953578
electronics.clocks,6138538,5867090,192665,78783,1435903,20744277.169999998,286.16644690522696
sport.bicycle,2603226,2370051,173051,60124,753921,8275757.66,305.804555493071
electronics.video.tv,3830725,3616307,157651,56767,808781,21868719.93,373.807694281481
appliances.kitchen.refrigerators,4716289,4501422,158807,56060,1145966,24812288.76,443.38965341746075
appliances.kitchen.washer,3355701,3147455,152793,55453,643168,16117602.17,332.9105224439283
apparel.shoes,5193817,4976976,163990,52851,1354704,6895261.45,109.34584187987173
appliances.environment.vacuum,3743067,3543136,147140,52791,709848,7845028.05,178.95171820406745
appliances.personal.massager,2676154,2490251,139585,46318,549304,16846105.75,200.10822412337345
computers.notebook,3833383,3707411,87512,38460,677549,22534150.12,735.7032309678661
computers.peripherals.printer,1772026,1698160,53833,20033,507404,4034840.62,234.07644858648788
apparel.shoes.sandals,1135567,1072008,47214,16345,296921,1291342.48,60.04943828036442
electronics.tablet,1056985,1001841,40718,14426,293198,3511404.39,270.0376515650696
apparel.shoes.keds,1802760,1754783,34467,13510,512818,1272661.23,95.5721469677633
appliances.kitchen.blender,868842,823334,33309,12199,195230,741369.7,65.18235503373604
apparel.shoes.slipons,664929,619483,33444,12002,175387,2340345.35,119.3201000603906
computers.desktop,1601190,1555928,33389,11873,425539,3369753.47,468.2913863407353
kids.toys,1254178,1207196,35514,11468,447814,1104041.85,63.67079073888666
appliances.kitchen.coffee_grinder,616819,578997,26495,11327,212761,3555237.1,141.6033369922994
furniture.bedroom.blanket,721131,678082,31734,11315,201058,1871792.05,106.64155195785676
electronics.audio.subwoofer,986039,952749,22465,10825,215486,1014164.4,98.07300936899684
appliances.kitchen.oven,962037,920572,30818,10647,186641,1364021.82,192.60536895313973
furniture.bedroom.bed,1397312,1359807,27199,10306,391345,1544995.3,197.2593262996035
appliances.environment.air_heater,721633,683331,28656,9646,131180,748832.25,107.3767154617406
construction.components.faucet,715306,683271,22577,9458,177176,1570997.84,147.4379102768305
appliances.kitchen.kettle,708143,674636,24173,9334,178307,418731.73,59.32401485957846
auto.accessories.player,1005433,980316,16008,9109,240095,1060685.8699999999,137.33230073966683
electronics.telephone,713136,680525,23581,9030,192787,424529.29,91.66115622036315
appliances.kitchen.microwave,483265,453535,20829,8901,119821,739106.23,117.37433953694828
appliances.iron,486478,458371,19429,8678,115052,650835.23,191.446573717074
appliances.sewing_machine,704877,671779,25040,8058,146192,1758626.44,248.26312076463856
construction.tools.drill,956068,926449,21989,7630,231806,816936.91,169.30957264574732
sport.ski,623352,595945,20030,7377,229275,787336.42,238.56845208858167
furniture.kitchen.chair,637702,606687,23821,7194,183101,359486.97,70.65082420978457
accessories.bag,1039190,1011867,20369,6954,327323,330227.13,68.3949662801101
auto.accessories.alarm,558110,531574,19760,6776,145311,860913.7999999999,131.1361371148934
appliances.kitchen.meat_grinder,534388,510277,17371,6740,135600,578604.77,86.79771415842482
apparel.costume,851073,824005,20509,6559,337694,635643.09,125.44698683273667
appliances.environment.water_heater,366291,343734,16286,6271,78511,656280.28,109.33558764909823
furniture.kitchen.table,740354,713250,20835,6269,226692,520562.56,156.28239502691613
construction.tools.welding,676184,647790,22165,6229,224017,798081.5,185.37883789346628
furniture.living_room.cabinet,1020310,999227,14900,6183,271263,1282854.79,212.70366078181436
construction.tools.saw,555098,529934,19037,6127,147839,796454.53,187.55676131113904
appliances.kitchen.mixer,460275,438554,16028,5693,111585,451441.4,137.73696760333837
auto.accessories.compressor,500763,481562,13689,5512,144608,1630775.83,232.70525944076914
kids.carriage,622791,606447,10875,5469,124965,1007927.22,251.43722658708126
electronics.camera.video,453228,429789,18003,5436,135533,530185.45,261.8521479515075
computers.components.cooler,455533,434212,16000,5321,119855,476279.46,90.94708951556403
apparel.scarf,576202,547149,23825,5228,239915,353240.81,37.24103952694759
appliances.kitchen.hood,593211,570621,17401,5189,117133,514353.52999999997,125.90533149943793
sport.trainer,687015,662653,19212,5150,222751,1043414.5599999999,312.1846094227991
construction.tools.generator,530488,509417,15937,5134,138974,552517.3,158.67358709796963
appliances.kitchen.grill,529243,507683,16573,4987,175971,494959.27,131.31325341314312
furniture.bathroom.bath,308561,289728,13936,4897,89079,362815.43,154.66069397595027
auto.accessories.videoregister,534601,517218,12500,4883,146291,571396.0,129.68138828226145
furniture.living_room.sofa,1043343,1024372,14153,4818,265128,2249715.33,587.446770854854
kids.skates,531280,513707,13105,4468,141865,779957.21,280.2800083048017
